1001,WH01,68,25,30
1002,WH01,35,50,15
1003,WH01,68,25,30
1004,WH01,35,50,15
1005,WH01,68,25,30
1006,WH01,35,50,15
2001,WH01,38,10,30
2003,WH01,48,20,30
2004,WH01,58,20,30
2006,WH01,38,15,30
4004,WH01,48,10,30
4005,WH01,58,10,30
4006,WH01,68,20,30
4007,WH01,48,22,30
4001,WH01,38,21,30
4002,WH01,28,20,30
1001,WH02,68,25,30
1002,WH02,35,50,15
1003,WH02,68,25,30
1004,WH02,35,50,15
2004,WH02,58,20,30
2006,WH02,38,15,30
4006,WH02,68,20,30
4007,WH02,48,22,30
4001,WH02,38,21,30
4002,WH02,28,20,30
1001,WH03,68,25,30
1002,WH03,35,50,15
1003,WH03,68,25,30
1004,WH03,35,50,15
1005,WH03,68,25,30
1006,WH03,35,50,15
2001,WH03,38,10,30
2003,WH03,48,20,30
2004,WH03,58,20,30
2006,WH03,38,15,30
2001,WH04,38,10,30
2003,WH04,48,20,30
2004,WH04,58,20,30
2006,WH04,38,15,30
4004,WH04,48,10,30
4005,WH04,58,10,30
4006,WH04,68,20,30
4001,WH04,48,22,30
